"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Wente Winery, US","5565 Tesla Rd, Livermore, CA 94550, USA","[37.6642501, -121.7253465]"
"Gimenez Riili Winery, Argentina","RP94, M5663AHA Los Sauces, Mendoza, Argentina","[-33.6028603, -69.2202042]"
"Achaval-Ferrer Winery, Argentina","Cobos 2601, M5504FCE Mendoza, Argentina","[-33.0566629, -68.9136103]"
"Baywood Winery, US","2959 Gravenstein Hwy N, Sebastopol, CA 95472, USA","[38.4349136, -122.8550734]"
"Louis d'Armont Winery, France","Armont, 71480 Dommartin-lès-Cuiseaux, France","[46.50479, 5.265683]"
"Giant Steps Winery, Australia","336 Maroondah Hwy, Healesville VIC 3777, Australia","[-37.6515129, 145.5223248]"
"Verve Winery, US","24 Hubert St, New York, NY 10013, USA","[40.7216709, -74.0102084]"
"Arns Winery, US","601 Mund Rd, St Helena, CA 94574, USA","[38.5352919, -122.468558]"
"Jacuzzi Winery, US","24724 Arnold Dr, Sonoma, CA 95476, USA","[38.2146779, -122.4539395]"
"Bodega Don Bosco Winery, Argentina","RP50 5268, Rodeo del Medio, Mendoza, Argentina","[-32.9922018, -68.6805911]"
"Cockburn's Winery, Portugal","R. de Serpa Pinto 346, 4400-307 Vila Nova de Gaia, Portugal","[41.133709, -8.618253]"
"Cyatho Winery, Spain","El Somo Kalea, 22, 01322 Moreda Araba, Araba, Spain","[42.5204415, -2.414007]"
"De Faveri Winery, Italy","Via Sartori, 21, 31020 Vidor TV, Italy","[45.860488, 12.065256]"
"Primarius Winery, US","1910 Fairview Ave E #400, Seattle, WA 98102, USA","[47.63609, -122.327028]"
"Simonsig Winery, South Africa","Kromme Rhee Rd, Stellenbosch, Cape Town, 7605, South Africa","[-33.8700592, 18.8254192]"
"Il Follo Winery, Italy","Via Follo, 36, S.Stefano Valdobbiadene TV, Italy","[45.8978372, 12.0408228]"
"La Gioiosa Winery, Italy","Via Erizzo, 113/a, 31035 Crocetta del Montello TV, Italy","[45.817685, 12.037451]"
"Villa Sandi Winery, Italy","Via Erizzo, 113A, 31035 Crocetta del Montello TV, Italy","[45.8182033, 12.0372169]"
"Joullian Winery, US","2 Village Dr A, Carmel Valley, CA 93924, USA","[36.4793665, -121.7329473]"
"Hedgeline Winery, US","23172 Plaza Pointe Dr #285, Laguna Hills, CA 92653, USA","[33.6258106, -117.7219792]"
"Ciavolich Giuseppe Winery, Italy","Contrada Salmacina, 11, 65014 Loreto Aprutino PE, Italy","[42.4018914, 13.9952797]"
"Clos des Augustins Winery, France","111 Chemin de la Vieille, 34270 Saint-Mathieu-de-Tréviers, France","[43.7754087, 3.8739767]"
"Vigne & Vini Winery, Italy","Via Cerbaia, 107, 51035 Lamporecchio PT, Italy","[43.805848, 10.871068]"
"Indigené Winery, US","18181 Cachagua Rd, Carmel Valley, CA 93924, USA","[36.4017935, -121.658299]"
"Niepoort Winery, Portugal","CM1101, 5110, Portugal","[41.1488907, -7.642253200000001]"
"Quails' Gate Winery, Canada","3303 Boucherie Rd, Kelowna, BC V1Z 2H3, Canada","[49.8427516, -119.5661401]"
"Altamura Winery, US","1700 Wooden Valley Rd, Napa, CA 94558, USA","[38.364381, -122.1751742]"
"Guy Saget Winery, France","La Castille, 58150 Pouilly-sur-Loire, France","[47.268119, 2.980572]"
"Château Musar Winery, Lebanon","Mzar Street, Ghazir, Lebanon","[34.0161752, 35.6698126]"
"Geyser Peak Winery, US","2306 Magnolia Dr, Healdsburg, CA 95448, USA","[38.6045893, -122.8723053]"
"Tosti Winery, Italy","Viale Italia, 295, 14053 Canelli AT, Italy","[44.733798, 8.292650100000001]"
"Gruppo Casaleone Winery, Italy","37052 Casaleone VR, Italy","[45.1725945, 11.1973286]"
"Tenimenti Ca' Bianca Winery, Italy","Regione Spagna, 58, 15010 Alice bel Colle AL, Italy","[44.708563, 8.469752]"
"Ca'Romè Winery, Italy","Strada Rabaja, 86/88, Barbaresco CN, Italy","[44.7124274, 8.0892648]"
"Fujishin Winery, US","15593 Sunny Slope Rd, Caldwell, ID 83607, USA","[43.599232, -116.793756]"
"Fire Road Winery, New Zealand","85 Archertown Rd, New Egypt, NJ 08533, USA","[40.069607, -74.5041018]"
"One Woman Winery, US","5195 Old North Rd, Southold, NY 11971, USA","[41.0815899, -72.4248522]"
"Vilafonté Winery, South Africa","Unit 7C, Lower Dorp Street, Bosmans Crossing, Stellenbosch, 7600, South Africa","[-33.940707, 18.846616]"
"Vinyes del Terrer Winery, Spain","Camí del Terrer, s/n, Apartat de Correus 174, 43480 Vila-seca, Tarragona, Spain","[41.094837, 1.147509]"
"Corley Reserve Winery, US","4242 Big Ranch Rd, Napa, CA 94558, USA","[38.3591894, -122.3106703]"
"Cult X Winery, US","1405 2nd St, Napa, CA 94559, USA","[38.2967257, -122.2881341]"
"Domaine Albert Mann Winery, France","13 Rue du Château, 68920 Wettolsheim, France","[48.05653900000001, 7.298524]"
"Greywacke Winery, New Zealand","44 Godfrey Rd, Springlands, Fairhall 7272, New Zealand","[-41.5154483, 173.8434814]"
"Domaine Joël Delaunay Winery, France","48 Rue de la Tesnière, 41110 Pouillé, France","[47.3055667, 1.2942985]"
"Duck Pond Winery, US","23145 OR-99W, Dundee, OR 97115, USA","[45.2902083, -122.9995339]"
"Fairsing Winery, US","20881 NE Laughlin Rd, Yamhill, OR 97148, USA","[45.3734546, -123.124041]"
"Finca Agostino Winery, Argentina","Carril Barrancas 10590, 5517 Maipú, Mendoza, Argentina","[-33.103585, -68.671267]"
"Graziano Winery, US","13275 US-101 #3, Hopland, CA 95449, USA","[38.974, -123.115685]"
"Olek Bondonio Winery, Italy","Strada Riccardo Terzolo, 14, 12050 Barbaresco CN, Italy","[44.7072017, 8.070588599999999]"
"Salvano Winery, Italy","Via Guido Cane, 1, 12055 Diano D'alba CN, Italy","[44.629151, 8.009519]"
"Sidecar Winery, US","501 Old Fitzhugh Rd, Dripping Springs, TX 78620, USA","[30.197581, -98.088723]"
"Olabisi Winery, US","1226 Washington St, Calistoga, CA 94515, USA","[38.5789343, -122.5795016]"
"Roza Ridge Winery, US","8150 US-281, Grand Island, NE 68803, USA","[41.033478, -98.362973]"
"Shaya Winery, Spain","40462 Aldeanueva del Codonal, Segovia, Spain","[41.0720466, -4.540079299999999]"
"Terre di Leone Winery, Italy","Via Valpolicella, 6/b, 37020 Località Porta, Marano di Valpolicella VR, Italy","[45.5542616, 10.9166096]"
"Thelema Winery, South Africa","R310 Helshoogte Pass, Stellenbosch, 7600, South Africa","[-33.90842, 18.92248]"
"Buitenverwachting Winery, South Africa","37 Klein Constantia Rd, Nova Constantia, Cape Town, 7806, South Africa","[-34.0419924, 18.4160897]"
"Ca' Rugate Winery, Italy","Via Pergola, 36, 37030 Montecchia di Crosara VR, Italy","[45.4575419, 11.300168]"
"Denis Dutron Winery, France","Rue du Bourg, 71960 Fuissé, France","[46.279975, 4.7435065]"
"Domaine Bernard Millot Winery, France","27 Rue de Mazeray, 21190 Meursault, France","[46.9740579, 4.7705095]"
"Domaine Jean-Paul et Benoît Droin Winery, France","14 Avenue Jean Jaurès, 89800 Chablis, France","[47.8163223, 3.8026625]"
"Maculan Winery, Italy","Via Castelletto, 3, 36042 Breganze VI, Italy","[45.7083218, 11.562282]"
"Saddleback Cellars Winery, US","7802 Money Rd, Oakville, CA 94562, USA","[38.4494551, -122.3883368]"
"Epiphany Winery, US","2974 Grand Ave, Los Olivos, CA 93441, USA","[34.6669689, -120.1147479]"
"Garcia Schwaderer Winery, Chile","1 Harbor Dr # 112, Sausalito, CA 94965, USA","[37.8677705, -122.5009522]"
"Poiema Winery, US","13017 La Dana Ct, Santa Fe Springs, CA 90670, USA","[33.9327388, -118.0545091]"
"Sauska Winery, Hungary","Tokaj, József Attila u. 2, 3910 Hungary","[48.1274467, 21.4081271]"
"College Cellars Winery, US","3020 E Isaacs Ave, Walla Walla, WA 99362, USA","[46.079951, -118.2830387]"
"Poseidon Winery, US","23568 Arnold Dr, Sonoma, CA 95476, USA","[38.2278765, -122.4584227]"
"Seven Angels Winery, US","638 Grand St # A, Brooklyn, NY 11211, USA","[40.711259, -73.94663229999999]"
"Stapleton & Springer Winery, Czech Republic","Na panském dvoře 509, 691 08 Bořetice, Czechia","[48.9147182, 16.8560201]"
"Standing Sun Winery, US","92 2nd St, Buellton, CA 93427, USA","[34.6152277, -120.1901279]"
"Tenuta San Leonardo Winery, Italy","Località San Leonardo, 1, 38060 Avio TN, Italy","[45.70420900000001, 10.9312404]"
"A.P. Vin Winery, US","622 Treat Ave, San Francisco, CA 94110, USA","[37.7603101, -122.4138535]"
"Baily Winery, US","33440 La Serena Way, Temecula, CA 92591, USA","[33.5232271, -117.0825622]"
"Castelvecchio Winery, Italy","Loc. Castelvecchi SP114c, Traversa del Chianti, 53017 Radda in Chianti SI, Italy","[43.511842, 11.364919]"
"Cave de Ribeauvillé Winery, France","2 Route de Colmar, 68150 Ribeauville, France","[48.191907, 7.327089000000001]"
"Child's Play Winery, US","3500 NW Bridge Farmer Rd, Gaston, OR 97119, USA","[45.41776249999999, -123.1530906]"
"Domaine du Petit Clocher Winery, France","La Laiterie, 49560 Cléré-sur-Layon, France","[47.1079181, -0.4221689]"
"Señorío de Sarria Winery, Spain","Finca Puente la Reina s/n, 31100 Puente la Reina, Spain","[42.701944, -1.832034]"
"Standing Stone Winery, US","9934 NY-414, Hector, NY 14841, USA","[42.5435065, -76.8741905]"
"Tenuta Sette Ponti Winery, Italy","Via Provinciale dei Sette Ponti, 71, 52029 Castiglion Fibocchi AR, Italy","[43.53302009999999, 11.727894]"
"Valsanzo Winery, Spain","Calle Manuel Azaña, 9, 47014 Valladolid, Spain","[41.6364066, -4.7653968]"
"La Capilla Winery, US","Los Angeles, CA, USA","[34.0522342, -118.2436849]"
"Eleusis Winery, Spain","Rua Xiabre, 58 Trabanca-Sardiñeira, Carril 36.600 Vilagarcia de Arousa, 36618 Vilagarcía de Arousa, Pontevedra, Spain","[42.61463699999999, -8.759989]"
"Vina Robles Winery, US","3700 Mill Rd, Paso Robles, CA 93446, USA","[35.6462671, -120.6305511]"
"Langtry Winery, US","21000 Butts Canyon Rd, Middletown, CA 95461, USA","[38.7359634, -122.5283555]"
"Leth Winery, Austria","Kirchengasse 6, 3481 Fels am Wagram, Austria","[48.4376271, 15.8279649]"
"Mastrojanni Winery, Italy","Località Poderi Loreto e San Pio, 53024 Castelnuovo dell'Abate SI, Italy","[43.008257, 11.543293]"
"Palazzo Winery, Italy","Via Terra Rossa, 5, 53045 Valiano SI, Italy","[43.162182, 11.90139]"
"Patterson Winery, US","Vineyard Ave, Patterson, CA 95363, USA","[37.52680640000001, -121.1580812]"
"Pietroso Winery, Italy","Localita' Pod. Pietroso, Montalcino, Si 53024, Italy","[43.0519715, 11.4805573]"
"Radius Winery, US","610 Merchant St, Emporia, KS 66801, USA","[38.405485, -96.181319]"
"San Giacomo Winery, Italy","Contrada Novella, 3, 66020 Rocca San Giovanni CH, Italy","[42.2531517, 14.4388119]"
"Château Bibian Winery, France","54 Route de Donissan, 33480 Listrac-Médoc, France","[45.10275679999999, -0.7803909]"
"Château de Braude Winery, France","8 Avenue Jean Luc Vonderheyden, 33460 Arsac, France","[44.995245, -0.6917310000000001]"
"Il Poggiolo Winery, Italy","8 E 1st St, Hinsdale, IL 60521, USA","[41.8014212, -87.928816]"
"La Rasina Winery, Italy","Localita' Rasina, 132, 53024 Montalcino SI, Italy","[43.0523581, 11.5218171]"
"Zarate Winery, Spain","Aldea Padrenda de Abaixo, 24, 36638 Meaño, Pontevedra, Spain","[42.4847681, -8.7843787]"
"Eleven Winery, US","620 Trancas St, Napa, CA 94558, USA","[38.32595329999999, -122.2877361]"
"Elsom Cellars Winery, US","2960 4th Ave S, Seattle, WA 98134, USA","[47.5759272, -122.3281205]"
"Fayolle Fils & Fille Winery, France","9 Rue du Ruisseau, 26600 Gervans, France","[45.1094002, 4.8342149]"
"Jean Daneel Winery, South Africa","Unit 3, 1, Monsanto Road, Napier, 7270, South Africa","[-34.4654058, 19.8994228]"
"La Rochelle Winery, US","233 Adobe Canyon Rd, Kenwood, CA 95452, USA","[38.4285214, -122.5554426]"
"Maggy Hawk Winery, US","1820 CA-128, Philo, CA 95466, USA","[39.1351599, -123.5366055]"
"Rabl Winery, Austria","Weraingraben 10, 3550 Langenlois, Austria","[48.4734066, 15.6612471]"
"Domaine du Grand Montmirail Winery, France","Grand Montmirail, 84190 Gigondas, France","[44.150649, 5.020458]"
"Agricola Punica Winery, Italy","Via Cagliari, 78, 09010 Santadi CI, Italy","[39.1075598, 8.690686099999999]"
"Elements of Sonoma Winery, US","380 1st St W, Sonoma, CA 95476, USA","[38.2943679, -122.4583141]"
"Forchini Winery, US","5141 Dry Creek Rd, Healdsburg, CA 95448, USA","[38.67695, -122.9359251]"
"Gallo Family Vineyards, US","2180 FL-434, Longwood, FL 32779, USA","[28.6849246, -81.3955982]"
"Marc Kreydenweiss Winery, France","12 Rue Deharbe, 67140 Andlau, France","[48.3883515, 7.415519799999999]"
"Blandy's Winery, Portugal","Rua Dos Ferreiros 82, 9000-043 Funchal, Portugal","[32.6496822, -16.9081354]"
"Ca' del Solo Winery, US","4100 Cahuenga Blvd, Toluca Lake, CA 91602, USA","[34.1441219, -118.3612333]"
"Trentadue Winery, US","19170 Geyserville Ave, Geyserville, CA 95441, USA","[38.6793659, -122.8728644]"
"Scala Dei Winery, Spain","Rambla de la Cartoixa, S/N, 43379 La Morera de Montsant, Tarragona, Spain","[41.2481298, 0.8112974]"
"Plaisir De Merle Winery, South Africa","R45, Simondium, 7670, South Africa","[-33.842252, 18.958497]"
"Havana Hills Winery, South Africa","Cape Farms, Cape Town, South Africa","[-33.7226322, 18.5695543]"
"Mas Nicolas Winery, South Africa","Le Coudougno, 34480 Cabrerolles, France","[43.520443, 3.114561]"
"Mendocino Gold Winery, US","13420 US-101, Hopland, CA 95449, USA","[38.9726835, -123.1169022]"
"New World Winery, South Africa","103 E 84th St # 6B, New York, NY 10028, USA","[40.778795, -73.9575217]"
"Niel Joubert Winery, South Africa","Klapmuts/Simondium Road, Klapmuts, 7625, South Africa","[-33.831238, 18.901033]"
"Perry Creek Winery, US","7400 Perry Creek Rd, Fair Play, CA 95684, USA","[38.6064289, -120.663456]"
"Imagery Winery, US","14335 Sonoma Hwy, Glen Ellen, CA 95442, USA","[38.3599724, -122.503722]"
"Redwood Winery, US","14000 Tomki Rd, Redwood Valley, CA 95470, USA","[39.3373501, -123.2263329]"
"Bodegas Concavins Winery, Spain","Carrer de Montblanc, 0, 43006 Tarragona, Spain","[41.1156059, 1.2188516]"
"Wild Pig Winery, France","15 Rue de Longchamp, 75016 Paris, France","[48.8648065, 2.2912188]"
"CarlindePaolo Winery, Italy","Frazione Gorzano, 238/a, 14015 San Damiano d'Asti AT, Italy","[44.8422, 8.033773]"
"Cascina Radice Winery, Italy","Cascina, Province of Pisa, Italy","[43.6759139, 10.5558967]"
"Clos Pons Winery, Spain","Crta. LV-7011, Km. 4.5, 25155 L'Albagés, Lleida, Spain","[41.41943699999999, 0.755096]"
"Domaine Gueguen Winery, France","31 Grande Rue de Chablis, 89800 Préhy, France","[47.7585229, 3.7577825]"
"J. Bouchon Winery, Chile","35°34'29. 71°59'20.3""W - Av. La Dehesa 3, Lo Barnechea, Región Metropolitana, Chile","[-35.574801, -71.988978]"
"La Spinetta Winery, Italy","via Annunziata, 17, 14054 Castagnole delle Lanze AT, Italy","[44.7408899, 8.16195]"
"Pietro Rinaldi Winery, Italy","Madonna Di Como, 86, 12051 Alba CN, Italy","[44.67664420000001, 8.0652257]"
"Bridgeview Winery, US","4210 Holland Loop Rd, Cave Junction, OR 97523, USA","[42.124022, -123.59678]"
"Kalbarri Winery, Australia","166 Grey St, Kalbarri WA 6536, Australia","[-27.7006743, 114.1688057]"
"Harveys Winery, Spain","Calle Puerta de Rota, S/N, 11408 Jerez de la Frontera, Cádiz, Spain","[36.6828525, -6.1457052]"
"Snake River Winery, US","5641 US-12, Walla Walla, WA 99362, USA","[46.050716, -118.457492]"
"Celler La Bollidora Winery, Spain","Raval de Sant Pere, 39, 43782 Vilalba dels Arcs, Tarragona, Spain","[41.119626, 0.4099227]"
"Panthea Winery, US","2400 Guntly Rd, Philo, CA 95466, USA","[39.124641, -123.512753]"
"LaStella Winery, Canada","8123 148 Ave, Osoyoos, BC V0H 1V2, Canada","[49.0545, -119.4976775]"
"Lucien Lardy Winery, France","134 Rue des Artisans, 69430 Quincié-en-Beaujolais, France","[46.138694, 4.6100683]"
"Barone Pizzini Winery, Italy","Via S. Carlo, 14, 25050 Provaglio d'Iseo BS, Italy","[45.633689, 10.020441]"
"Jean Laurent Winery, France","12 Rue des Huguenots, 10110 Celles-sur-Ource, France","[48.0763883, 4.3985704]"
"Louis Roederer Winery, France","4501 CA-128, Philo, CA 95466, USA","[39.108426, -123.49712]"
"A.R. Lenoble  Winery, France","35 Rue Paul Douce, 51480 Damery, France","[49.0721622, 3.8778261]"
"Corte Moschina Winery, Italy","Via Moschina, 1, 37030 Roncà VR, Italy","[45.4731598, 11.3072291]"
"McEvoy Ranch Winery, US","5935 Red Hill Rd, Petaluma, CA 94952, USA","[38.1616669, -122.6753632]"
"Mercy Winery, US","40 W Carmel Valley Rd A, Carmel Valley, CA 93924, USA","[36.4797095, -121.7336641]"
"Metz Road Winery, US","1777 Metz Rd, Soledad, CA 93960, USA","[36.426096, -121.3087106]"
"Starborough Winery, New Zealand","101 O'dwyers Rd, Marlborough 7273, New Zealand","[-41.4726683, 173.9277081]"
"Tenuta di Trecciano Winery, Italy","53018 Sovicille SI, Italy","[43.28471649999999, 11.212047]"
"Textbook Winery, US","110 Camino Oruga, Napa, CA 94558, USA","[38.2292017, -122.2557327]"
"Bellini Winery, Italy","Via Piave, 1, 50068 Rufina FI, Italy","[43.82696, 11.4880669]"
"Aia Vecchia Winery, Italy","Via del Casone Ugolino, 6, 57022 Donoratico LI, Italy","[43.1673031, 10.5814956]"
"Cipriana Winery, Italy","57022 Castagneto Carducci, Province of Livorno, Italy","[43.165551, 10.586435]"
"Eucaliptus Winery, Italy","Eucaliptus Azienda agricola-Agriturismo, S.P. Bolgherese, 275a, 57022 Bolgheri, Castagneto Carducci LI, Italy","[43.201545, 10.613769]"
"Château de Minière Winery, France","25 Rue de Minière, 37140 Ingrandes-de-Touraine, France","[47.285203, 0.2578406]"
"Château La Rame Winery, France","La Rame, 33410 Sainte-Croix-du-Mont, France","[44.5910746, -0.2733358]"
"Chrysorroyiatissa Winery, Cyprus","E703, Pano Panagia, Cyprus","[34.9098842, 32.6186489]"
"Frank Cornelissen Winery, Italy","Italy, Province of Catania, Castiglione di Sicilia Via Canonico Zumbo 1 Passopiaciaro","[37.873602, 15.034682]"
"Heavenly Retreat Winery, Romania",Romania,"[45.943161, 24.96676]"
"Alpataco Winery, Argentina","Paseo Sarmiento 184, 5500 Mendoza, Argentina","[-32.890355, -68.841691]"
"San Giuseppe Winery, Italy","Via Mons. A. Bello, 9, 74020 San Marzano di San Giuseppe TA, Italy","[40.4609508, 17.496714]"
"Zenaida Cellars Winery, US","1550 CA-46, Paso Robles, CA 93446, USA","[35.5819395, -120.7195024]"
"Calama Winery, Chile","Calama, Antofagasta Region, Chile","[-22.4667451, -68.9059267]"
"La Palma Winery, Chile","Calle Of 602 - Coyancura 2283, Providencia, Región Metropolitana, Chile","[-33.423025, -70.60793199999999]"
"Quinta da Aveleda Winery, Portugal","Rua da Aveleda 2, 4560-570 Penafiel, Portugal","[41.2076374, -8.3081853]"
"Vino de Eyzaguirre Winery, Chile","217 S Main St, Bentonville, AR 72712, USA","[36.370813, -94.208474]"
"Domaine Michel Fonne Winery, France","24 Rue du Général de Gaulle, 68630 Bennwihr, France","[48.1443178, 7.3249973]"
"Freja Winery, US","16691 SW McFee Pl, Hillsboro, OR 97123, USA","[45.4002287, -123.0191681]"
"Gino Fasoli Winery, Italy","San Zeno di colognola ai colli, Via C.Battisti, 47, 37030 Colognola Ai Colli VR, Italy","[45.4390109, 11.1775739]"
"Miklus Winery, Italy","Località Scedina, 9, 34070 San Floriano del Collio GO, Italy","[45.9801788, 13.5962714]"
"Nga Waka Winery, New Zealand","6 Kitchener St, Martinborough 5711, New Zealand","[-41.2101153, 175.4562062]"
"North 42 Degrees Winery, Canada","130 Essex County Rd 50, Harrow, ON N0R 1G0, Canada","[41.986108, -82.91919]"
"Schlumberger Wein- und Sektkellerei Winery, Austria","Hans Haderer-Gasse 8, 2540 Bad Vöslau, Austria","[47.9751314, 16.2112864]"
"Shooting Star Winery, US","4350 Thomas Dr, Kelseyville, CA 95451, USA","[38.9929875, -122.8742808]"
"Wilderotter Winery, US","19890 Shenandoah School Rd, Plymouth, CA 95669, USA","[38.492227, -120.823887]"
"Yamhill Valley Winery, US","16250 SW Oldsville Rd, McMinnville, OR 97128, USA","[45.1502103, -123.287962]"
"Borgoluce Winery, Italy","Località Musile, 2, 31058 Susegana TV, Italy","[45.837777, 12.249927]"
"Tenuta di Serramarrocco Winery, Italy","91100 Trapani TP, Italy","[37.9446081, 12.7482226]"
"Viña Bujanda Winery, Spain","4800 Cox Rd #300, Glen Allen, VA 23060, USA","[37.6675865, -77.57112099999999]"
"Windsor Sonoma Winery, US","9050 Windsor Rd, Windsor, CA 95492, USA","[38.54797810000001, -122.8165901]"
"Smasne Cellars Winery, US","500 Merlot Dr, Prosser, WA 99350, USA","[46.22041249999999, -119.7785282]"
"Château Tanunda Winery, Australia","9 Basedow Rd, Tanunda SA 5352, Australia","[-34.5271674, 138.9635894]"
"Di Giovanna Winery, Italy","C.Da San Giacomo, 92017 Sambuca di Sicilia AG, Italy","[37.6797847, 13.196233]"
"Domaine Marc Jambon Winery, France","La Roche, 71960 Pierreclos, France","[46.322796, 4.676229999999999]"
"Hangtime Winery, US","99 South St, Medfield, MA 02052, USA","[42.1824606, -71.2979637]"
"J. Garcia Carrion Winery, Spain","Calle de la Buenavista, 6, 21540 Villanueva de los Castillejos, Huelva, Spain","[37.5013808, -7.272029499999999]"
"Murganheira Winery, Portugal","3610 Ucanha, Portugal","[41.0575229, -7.738224600000001]"
"Allure Winery, US","10257 US-290, Hye, TX 78635, USA","[30.240793, -98.56835199999999]"
"Adams Bench Winery, US","14360 160th Pl NE, Woodinville, WA 98072, USA","[47.73089239999999, -122.1237309]"
"Animale Winery, US","130 N Hale Ave, Escondido, CA 92029, USA","[33.1165263, -117.1033144]"
"Argyros Winery, Greece","Episkopi Gonia, Thira 847 00, Greece","[36.3827684, 25.4647479]"
"Mano A Mano Winery, Spain","1919 Cherry St, Kansas City, MO 64108, USA","[39.089589, -94.576391]"
"Domaine La Soufrandise Winery, France","462 Rouette du Clos, 71960 Fuissé, France","[46.2815535, 4.746282799999999]"
"Amador Foothill Winery, US","12500 Steiner Rd, Plymouth, CA 95669, USA","[38.5391413, -120.7911309]"
"Château Toumilon Winery, France","Cabanes, 33210 Saint-Pierre-de-Mons, France","[44.552772, -0.202413]"
"Eventide Cellar Winery, South Africa","Rijks Cellar, Van der Stel street, Tulbagh, 6820, South Africa","[-33.267685, 19.145079]"
"Bonneau Winery, US","602 Bonneau Rd, Sonoma, CA 95476, USA","[38.2306966, -122.4767339]"
"Hunter Ashby Winery, US","Ashby, MA 01431, USA","[42.6772767, -71.81871389999999]"
"Nicholls Winery, US","874 N 1 Rd, Baldwin City, KS 66006, USA","[38.7405411, -95.3379231]"
"Pago de Larrainzar Winery, Spain","Camino de la Corona, S/N, 31240 Ayegui, Navarra, Spain","[42.6457443, -2.0456507]"
"L'Egrégoire Winery, France","8145 W Sinclair St, West Baden Springs, IN 47469, USA","[38.56171, -86.611716]"
"Old Well House Winery, South Africa","Raithby Road, Raithby, 7135, South Africa","[-34.0206006, 18.8098373]"
"Bodegas Franco-Españolas Winery, Spain","Calle Cabo Noval, 2, 26009 Logroño, La Rioja, Spain","[42.4720873, -2.4471426]"
"Bodegas Leza García Winery, Spain","Calle San Ignacio, 26, 26313 Uruñuela, La Rioja, Spain","[42.4432205, -2.7053664]"
"Cerulean Winery, US","1439 NW Marshall St, Portland, OR 97209, USA","[45.5308285, -122.6861118]"
"Château Abelyce Winery, France","1 Fonplegade, 1 Fonplegade, 33330 Saint-Émilion, France","[44.88503300000001, -0.165974]"
"Château Bellevue Peycharneau Winery, France","34 Rue de la Commanderie, 33220 Pineuilh, France","[44.823111, 0.228776]"
"Château le Prieuré Winery, France","34 Avenue de la 5ème République, 33460 Cantenac, France","[45.029066, -0.6559389999999999]"
"Château Moncets Winery, France","Chemin Roussillon, 33500 Néac, France","[44.933132, -0.17339]"
"Château Moulin de Blanchon Winery, France","3 Rue des Casaillons, 33180 Saint-Seurin-de-Cadourne, France","[45.2833362, -0.8047837]"
"DENO Winery, US","78911 U.S. 40, Winter Park, CO 80482, United States","[39.91846109999999, -105.7841781]"
"Domaine de la Bonne Tonne Winery, France","Haut Morgon, 69910 Villié-Morgon, France","[46.147306, 4.675344]"
"Winc Winery, US","5340 Alla Rd #105, Los Angeles, CA 90066, USA","[33.9774746, -118.4248709]"
"Laurelwood Winery, US","13301 NE Kuehne Rd, Carlton, OR 97111, USA","[45.3130517, -123.093042]"
"Mamete Prevostini Winery, Italy","Via Don Primo Lucchinetti, 63, 23020 San Vittore SO, Italy","[46.3112313, 9.3807099]"
"Jalits Winery, Austria","Untere Dorfstraße 16, 7512 Badersdorf, Austria","[47.196882, 16.3767445]"
"Levendi Winery, US","7830-40 St Helena Hwy, Oakville, CA 94562, USA","[38.4363635, -122.4023528]"
"Luna Winery, US","2921 Silverado Trail, Napa, CA 94558, USA","[38.344957, -122.2837754]"
"Michael Mondavi Family Estate Winery, US","7801 St Helena Hwy, Oakville, CA 94562, USA","[38.4412684, -122.4098023]"
"Morell-Peña Winery, US","202 E Main St, Walla Walla, WA 99362, USA","[46.0687717, -118.3359469]"
"Ramey Winery, US","25 Healdsburg Ave, Healdsburg, CA 95448, USA","[38.6035765, -122.8625648]"
"Saracina Winery, US","11684 US-101, Hopland, CA 95449, USA","[38.9966807, -123.1212426]"
"Sequel Winery, US","1604 Frenchtown Rd, Walla Walla, WA 99362, USA","[46.07031, -118.4901937]"
"Toccata Winery, US","1665 Copenhagen Dr, Solvang, CA 93463, USA","[34.5951062, -120.1394846]"
"Ferraton Pere et Fils Winery, France","7 Quai Arthur Rostaing, 26600 Tain-l'Hermitage, France","[45.068448, 4.840136]"
"Mas Champart Winery, France","Bramefan, 34360 Saint-Chinian, France","[43.41005639999999, 2.9425711]"
"Jada Vineyard & Winery, US","5620 Vineyard Dr, Paso Robles, CA 93446, USA","[35.5817, -120.796554]"
"Laughing Stock Winery, Canada","1548 Naramata Rd, Penticton, BC V2A 8T7, Canada","[49.541582, -119.565812]"
"Manzone Fratelli Winery, Italy","Castelletto, 9, 12065 Monforte D'alba CN, Italy","[44.6031302, 7.9771176]"
"Ca' Viola Winery, Italy","11 Borgo S. Luigi, Dogliani, CN 12063, Italy","[44.54606, 7.94913]"
"Darioush Winery, US","4240 Silverado Trail, Napa, CA 94558, USA","[38.3675193, -122.2945693]"
"Prinsi Winery, Italy","Via Gaia, 5, 12052 Neive CN, Italy","[44.7242794, 8.0999077]"
"Mascarello Giuseppe e Figlio Winery, Italy","Località Borgonuovo, 108, 12060 Monchiero CN, Italy","[44.569018, 7.917308]"
"Alzinger Winery, Austria","Unterloiben 11, 3601 Dürnstein, Austria","[48.387585, 15.542925]"
"J & J Winery, US","3415 National Rd W, Richmond, IN 47374, USA","[39.8207112, -84.9476677]"
"Vista d'Oro Winery, Canada","346 208 St, Langley, BC V2Z 1T6, Canada","[49.0089982, -122.6469832]"
